№ испытания	Количество приборов	П1	П2	П3	П4	П5	Размер буфера	Средняя вер-ть отказа	Среднее T в системе	Средний коэф. исп.
1	1	1,00	0,00	0,00	0,00	0,00	2	0,8872	4,1816	0,9055	
2	1	1,00	0,00	0,00	0,00	0,00	3	0,8895	6,8641	0,9646	
3	1	1,00	0,00	0,00	0,00	0,00	4	0,8660	10,1692	0,9919	
4	1	1,00	0,00	0,00	0,00	0,00	5	0,8803	12,2911	0,9936	
5	1	1,00	0,00	0,00	0,00	0,00	6	0,8743	13,4849	0,9928	
6	1	1,00	0,00	0,00	0,00	0,00	7	0,8721	17,8886	0,9894	
7	1	1,00	0,00	0,00	0,00	0,00	8	0,8598	21,2356	0,9925	
8	1	1,00	0,00	0,00	0,00	0,00	9	0,8593	23,0950	0,9927	
9	1	1,00	0,00	0,00	0,00	0,00	10	0,8630	27,1347	0,9917	
10	1	2,00	0,00	0,00	0,00	0,00	1	0,8617	29,8834	0,9939	
11	1	2,00	0,00	0,00	0,00	0,00	2	0,8305	4,2614	0,9844	
12	1	2,00	0,00	0,00	0,00	0,00	3	0,8150	7,1385	0,9935	
13	1	2,00	0,00	0,00	0,00	0,00	4	0,8166	9,2525	0,9921	
14	1	2,00	0,00	0,00	0,00	0,00	5	0,8151	12,6476	0,9935	
15	1	2,00	0,00	0,00	0,00	0,00	6	0,8169	13,3768	0,9939	
16	1	2,00	0,00	0,00	0,00	0,00	7	0,8171	18,2469	0,9940	
17	1	2,00	0,00	0,00	0,00	0,00	8	0,8113	20,8765	0,9917	
18	1	2,00	0,00	0,00	0,00	0,00	9	0,8090	22,5840	0,9940	
19	1	2,00	0,00	0,00	0,00	0,00	10	0,7879	26,6559	0,9920	
20	1	3,00	0,00	0,00	0,00	0,00	1	0,8104	27,4613	0,9945	
21	1	3,00	0,00	0,00	0,00	0,00	2	0,7892	4,2484	0,9600	
22	1	3,00	0,00	0,00	0,00	0,00	3	0,7979	6,7383	0,9459	
23	1	3,00	0,00	0,00	0,00	0,00	4	0,7681	10,0730	0,9476	
24	1	3,00	0,00	0,00	0,00	0,00	5	0,7802	11,8668	0,9911	
25	1	3,00	0,00	0,00	0,00	0,00	6	0,7781	14,7232	0,9923	
26	1	3,00	0,00	0,00	0,00	0,00	7	0,7666	18,6411	0,9936	
27	1	3,00	0,00	0,00	0,00	0,00	8	0,7606	20,7015	0,9944	
28	1	3,00	0,00	0,00	0,00	0,00	9	0,7736	21,7578	0,9913	
29	1	3,00	0,00	0,00	0,00	0,00	10	0,7642	24,5420	0,9939	
30	1	4,00	0,00	0,00	0,00	0,00	1	0,7660	27,8791	0,9941	
31	1	4,00	0,00	0,00	0,00	0,00	2	0,7520	4,3593	0,9683	
32	1	4,00	0,00	0,00	0,00	0,00	3	0,7453	6,7508	0,9736	
33	1	4,00	0,00	0,00	0,00	0,00	4	0,7438	9,5841	0,9843	
34	1	4,00	0,00	0,00	0,00	0,00	5	0,7468	12,4522	0,9670	
35	1	4,00	0,00	0,00	0,00	0,00	6	0,7413	14,7566	0,9920	
36	1	4,00	0,00	0,00	0,00	0,00	7	0,7506	16,4581	0,9925	
37	1	4,00	0,00	0,00	0,00	0,00	8	0,7429	20,1882	0,9935	
38	1	4,00	0,00	0,00	0,00	0,00	9	0,7540	21,0223	0,9675	
39	1	4,00	0,00	0,00	0,00	0,00	10	0,7390	24,4480	0,9943	
40	1	5,00	0,00	0,00	0,00	0,00	1	0,7410	26,7436	0,9948	
41	1	5,00	0,00	0,00	0,00	0,00	2	0,7378	4,1885	0,9648	
42	1	5,00	0,00	0,00	0,00	0,00	3	0,7363	6,9039	0,9807	
43	1	5,00	0,00	0,00	0,00	0,00	4	0,7357	9,3370	0,9640	
44	1	5,00	0,00	0,00	0,00	0,00	5	0,7070	12,8761	0,9506	
45	1	5,00	0,00	0,00	0,00	0,00	6	0,7315	14,4103	0,9940	
46	1	5,00	0,00	0,00	0,00	0,00	7	0,6970	18,7689	0,9924	
47	1	5,00	0,00	0,00	0,00	0,00	8	0,7073	20,4499	0,9491	
48	1	5,00	0,00	0,00	0,00	0,00	9	0,7226	22,0912	0,9903	
49	1	5,00	0,00	0,00	0,00	0,00	10	0,7071	24,8444	0,9948	
50	1	6,00	0,00	0,00	0,00	0,00	1	0,7150	27,2998	0,9865	
51	1	6,00	0,00	0,00	0,00	0,00	2	0,7163	4,0713	0,9668	
52	1	6,00	0,00	0,00	0,00	0,00	3	0,7077	6,9628	0,9848	
53	1	6,00	0,00	0,00	0,00	0,00	4	0,7014	9,9740	0,9940	
54	1	6,00	0,00	0,00	0,00	0,00	5	0,7054	12,3021	0,9734	
55	1	6,00	0,00	0,00	0,00	0,00	6	0,7063	14,6628	0,9941	
56	1	6,00	0,00	0,00	0,00	0,00	7	0,7019	17,2413	0,9942	
57	1	6,00	0,00	0,00	0,00	0,00	8	0,6854	20,7010	0,9920	
58	1	6,00	0,00	0,00	0,00	0,00	9	0,7085	21,2210	0,9943	
59	1	6,00	0,00	0,00	0,00	0,00	10	0,6932	24,7446	0,9950	
60	1	7,00	0,00	0,00	0,00	0,00	1	0,6885	27,6358	0,9936	
61	1	7,00	0,00	0,00	0,00	0,00	2	0,7068	4,1137	0,9547	
62	1	7,00	0,00	0,00	0,00	0,00	3	0,6977	6,9504	0,9923	
63	1	7,00	0,00	0,00	0,00	0,00	4	0,6934	9,3308	0,9918	
64	1	7,00	0,00	0,00	0,00	0,00	5	0,7112	11,3727	0,9947	
65	1	7,00	0,00	0,00	0,00	0,00	6	0,7096	13,6086	0,9823	
66	1	7,00	0,00	0,00	0,00	0,00	7	0,6890	17,0414	0,9940	
67	1	7,00	0,00	0,00	0,00	0,00	8	0,6682	20,1070	0,9914	
68	1	7,00	0,00	0,00	0,00	0,00	9	0,6667	23,4994	0,9934	
69	1	7,00	0,00	0,00	0,00	0,00	10	0,6700	25,0533	0,9936	
70	1	8,00	0,00	0,00	0,00	0,00	1	0,6559	28,6130	0,9893	
71	1	8,00	0,00	0,00	0,00	0,00	2	0,6757	4,3287	0,9289	
72	1	8,00	0,00	0,00	0,00	0,00	3	0,6874	6,9219	0,9819	
73	1	8,00	0,00	0,00	0,00	0,00	4	0,6827	9,4051	0,9745	
74	1	8,00	0,00	0,00	0,00	0,00	5	0,6699	12,6478	0,9938	
75	1	8,00	0,00	0,00	0,00	0,00	6	0,6789	14,4764	0,9820	
76	1	8,00	0,00	0,00	0,00	0,00	7	0,6794	17,3064	0,9714	
77	1	8,00	0,00	0,00	0,00	0,00	8	0,6853	19,1550	0,9941	
78	1	8,00	0,00	0,00	0,00	0,00	9	0,6748	22,0590	0,9946	
79	1	8,00	0,00	0,00	0,00	0,00	10	0,6513	26,1797	0,9297	
80	1	9,00	0,00	0,00	0,00	0,00	1	0,6598	26,9892	0,9946	
81	1	9,00	0,00	0,00	0,00	0,00	2	0,6707	4,1584	0,9068	
82	1	9,00	0,00	0,00	0,00	0,00	3	0,6827	6,4823	0,9882	
83	1	9,00	0,00	0,00	0,00	0,00	4	0,6713	9,6498	0,9748	
84	1	9,00	0,00	0,00	0,00	0,00	5	0,6534	12,4702	0,9931	
85	1	9,00	0,00	0,00	0,00	0,00	6	0,6628	14,7726	0,9849	
86	1	9,00	0,00	0,00	0,00	0,00	7	0,6633	16,8961	0,9937	
87	1	9,00	0,00	0,00	0,00	0,00	8	0,6608	19,1093	0,9908	
88	1	9,00	0,00	0,00	0,00	0,00	9	0,6725	21,5443	0,9940	
89	1	9,00	0,00	0,00	0,00	0,00	10	0,6408	25,3970	0,9937	
90	1	10,00	0,00	0,00	0,00	0,00	1	0,6461	27,2270	0,9911	
91	1	10,00	0,00	0,00	0,00	0,00	2	0,6715	4,1975	0,9753	
92	1	10,00	0,00	0,00	0,00	0,00	3	0,6583	6,9034	0,9929	
93	1	10,00	0,00	0,00	0,00	0,00	4	0,6416	10,0854	0,9859	
94	1	10,00	0,00	0,00	0,00	0,00	5	0,6448	12,9490	0,9931	
95	1	10,00	0,00	0,00	0,00	0,00	6	0,6615	14,4696	0,9844	
96	1	10,00	0,00	0,00	0,00	0,00	7	0,6434	17,3092	0,9930	
97	1	10,00	0,00	0,00	0,00	0,00	8	0,6290	20,3286	0,9901	
98	1	10,00	0,00	0,00	0,00	0,00	9	0,6646	20,7650	0,9946	
99	1	10,00	0,00	0,00	0,00	0,00	10	0,6361	24,8485	0,9926	
100	2	1,00	1,00	0,00	0,00	0,00	1	0,6374	26,3904	0,9948	
101	2	1,00	1,00	0,00	0,00	0,00	2	0,7984	6,1712	0,9535	
102	2	1,00	1,00	0,00	0,00	0,00	3	0,7961	8,9996	0,9770	
103	2	1,00	1,00	0,00	0,00	0,00	4	0,7923	11,8171	0,9779	
104	2	1,00	1,00	0,00	0,00	0,00	5	0,7859	14,7211	0,9735	
105	2	1,00	1,00	0,00	0,00	0,00	6	0,7902	17,3210	0,9868	
106	2	1,00	1,00	0,00	0,00	0,00	7	0,7855	19,8070	0,9798	
107	2	1,00	1,00	0,00	0,00	0,00	8	0,7751	23,5337	0,9894	
108	2	1,00	1,00	0,00	0,00	0,00	9	0,7696	26,5048	0,9863	
109	2	1,00	1,00	0,00	0,00	0,00	10	0,7751	28,9811	0,9891	
110	2	2,00	1,00	0,00	0,00	0,00	1	0,7814	31,7961	0,9836	
111	2	2,00	1,00	0,00	0,00	0,00	2	0,7494	5,9435	0,9514	
112	2	2,00	1,00	0,00	0,00	0,00	3	0,7366	9,0525	0,9550	
113	2	2,00	1,00	0,00	0,00	0,00	4	0,7312	12,2670	0,9676	
114	2	2,00	1,00	0,00	0,00	0,00	5	0,7224	14,3321	0,9915	
115	2	2,00	1,00	0,00	0,00	0,00	6	0,7325	16,9725	0,9642	
116	2	2,00	1,00	0,00	0,00	0,00	7	0,7114	20,5138	0,9759	
117	2	2,00	1,00	0,00	0,00	0,00	8	0,7338	22,6265	0,9764	
118	2	2,00	1,00	0,00	0,00	0,00	9	0,7071	25,7433	0,9873	
119	2	2,00	1,00	0,00	0,00	0,00	10	0,7258	26,1538	0,9870	
120	2	3,00	1,00	0,00	0,00	0,00	1	0,7143	30,9750	0,9851	
121	2	3,00	1,00	0,00	0,00	0,00	2	0,6974	6,5584	0,9578	
122	2	3,00	1,00	0,00	0,00	0,00	3	0,6967	9,3507	0,9853	
123	2	3,00	1,00	0,00	0,00	0,00	4	0,6765	12,0238	0,9825	
124	2	3,00	1,00	0,00	0,00	0,00	5	0,6776	14,5817	0,9865	
125	2	3,00	1,00	0,00	0,00	0,00	6	0,6775	17,5415	0,9898	
126	2	3,00	1,00	0,00	0,00	0,00	7	0,6743	20,7320	0,9767	
127	2	3,00	1,00	0,00	0,00	0,00	8	0,6746	23,1705	0,9892	
128	2	3,00	1,00	0,00	0,00	0,00	9	0,6707	25,4586	0,9921	
129	2	3,00	1,00	0,00	0,00	0,00	10	0,6619	28,2909	0,9800	
130	2	4,00	1,00	0,00	0,00	0,00	1	0,6840	29,4433	0,9900	
131	2	4,00	1,00	0,00	0,00	0,00	2	0,6573	6,6952	0,9138	
132	2	4,00	1,00	0,00	0,00	0,00	3	0,6643	9,2154	0,9588	
133	2	4,00	1,00	0,00	0,00	0,00	4	0,6659	11,8200	0,9896	
134	2	4,00	1,00	0,00	0,00	0,00	5	0,6573	14,6483	0,9907	
135	2	4,00	1,00	0,00	0,00	0,00	6	0,6522	17,8105	0,9850	
136	2	4,00	1,00	0,00	0,00	0,00	7	0,6476	20,2974	0,9877	
