№ испытания	Количество приборов	П1	П2	П3	Размер буфера	Средняя вер-ть отказа	Среднее T в системе	Средний коэф. исп.
1	1	1,00	0,00	0,00	8	0,864583	13,558232	0,992846	
2	1	1,00	0,00	0,00	12	0,863501	22,108717	0,993041	
3	1	1,00	0,00	0,00	16	0,835570	40,959856	0,993200	
4	1	2,00	0,00	0,00	4	0,845938	51,622661	0,995430	
5	1	2,00	0,00	0,00	8	0,820513	11,976461	0,993607	
6	1	2,00	0,00	0,00	12	0,798898	24,300691	0,991648	
7	1	2,00	0,00	0,00	16	0,809524	33,842680	0,993882	
8	1	3,00	0,00	0,00	4	0,786301	45,597345	0,994853	
9	1	3,00	0,00	0,00	8	0,775956	12,419229	0,988836	
10	1	3,00	0,00	0,00	12	0,763780	22,143567	0,994431	
11	1	3,00	0,00	0,00	16	0,751337	35,431757	0,992899	
12	1	4,00	0,00	0,00	4	0,754902	44,563135	0,994191	
13	1	4,00	0,00	0,00	8	0,757653	12,359731	0,991110	
14	1	4,00	0,00	0,00	12	0,761194	20,123662	0,989809	
15	1	4,00	0,00	0,00	16	0,733656	32,125796	0,994998	
16	1	5,00	0,00	0,00	4	0,712500	45,986280	0,994366	
17	1	5,00	0,00	0,00	8	0,713542	12,761542	0,992096	
18	1	5,00	0,00	0,00	12	0,715347	22,181046	0,993452	
19	1	5,00	0,00	0,00	16	0,690217	34,359414	0,994344	
20	1	6,00	0,00	0,00	4	0,713666	41,125202	0,994592	
21	1	6,00	0,00	0,00	8	0,730512	11,219102	0,984354	
22	1	6,00	0,00	0,00	12	0,701493	21,639738	0,994240	
23	1	6,00	0,00	0,00	16	0,687059	33,014555	0,993119	
24	1	7,00	0,00	0,00	4	0,665049	44,208017	0,994399	
25	1	7,00	0,00	0,00	8	0,670644	12,509392	0,959224	
26	1	7,00	0,00	0,00	12	0,664179	22,818248	0,991817	
27	1	7,00	0,00	0,00	16	0,669065	32,389714	0,994773	
28	1	8,00	0,00	0,00	4	0,678723	40,379033	0,993745	
29	1	8,00	0,00	0,00	8	0,692144	11,805939	0,977900	
30	1	8,00	0,00	0,00	12	0,677632	21,535205	0,995112	
31	1	8,00	0,00	0,00	16	0,669528	31,447520	0,994057	
32	1	9,00	0,00	0,00	4	0,637647	44,784931	0,992889	
33	1	9,00	0,00	0,00	8	0,665037	12,368082	0,994155	
34	1	9,00	0,00	0,00	12	0,648585	22,845062	0,993569	
35	1	9,00	0,00	0,00	16	0,643991	31,895890	0,992619	
36	1	10,00	0,00	0,00	4	0,619369	44,703210	0,995581	
37	1	10,00	0,00	0,00	8	0,653659	11,964873	0,993774	
38	1	10,00	0,00	0,00	12	0,650655	21,639011	0,995145	
39	1	10,00	0,00	0,00	16	0,659184	30,575205	0,995253	
40	2	1,00	1,00	0,00	4	0,628062	44,304976	0,994264	
41	2	1,00	1,00	0,00	8	0,785294	15,864846	0,981065	
42	2	1,00	1,00	0,00	12	0,766017	27,373577	0,979107	
43	2	1,00	1,00	0,00	16	0,769620	37,195465	0,986520	
44	2	2,00	1,00	0,00	4	0,753968	50,153101	0,986093	
45	2	2,00	1,00	0,00	8	0,733990	15,419780	0,978723	
46	2	2,00	1,00	0,00	12	0,726343	25,242908	0,990344	
47	2	2,00	1,00	0,00	16	0,702020	37,359175	0,990153	
48	2	3,00	1,00	0,00	4	0,687980	48,248133	0,984186	
49	2	3,00	1,00	0,00	8	0,695238	13,789598	0,974922	
50	2	3,00	1,00	0,00	12	0,692641	25,039100	0,982171	
51	2	3,00	1,00	0,00	16	0,682672	34,068312	0,988883	
52	2	4,00	1,00	0,00	4	0,668103	44,581235	0,992461	
53	2	4,00	1,00	0,00	8	0,636364	15,592882	0,986931	
54	2	4,00	1,00	0,00	12	0,646919	24,449795	0,989952	
55	2	4,00	1,00	0,00	16	0,636792	34,648993	0,986471	
56	2	5,00	1,00	0,00	4	0,631130	46,908782	0,994053	
57	2	5,00	1,00	0,00	8	0,647482	14,271163	0,989286	
58	2	5,00	1,00	0,00	12	0,591260	26,891963	0,991212	
59	2	5,00	1,00	0,00	16	0,621118	34,902776	0,980718	
60	2	6,00	1,00	0,00	4	0,621974	44,777307	0,995203	
61	2	6,00	1,00	0,00	8	0,625000	14,421316	0,991080	
62	2	6,00	1,00	0,00	12	0,604938	25,106867	0,987753	
63	2	6,00	1,00	0,00	16	0,604839	34,058217	0,992038	
64	2	7,00	1,00	0,00	4	0,609174	43,299560	0,988397	
65	2	7,00	1,00	0,00	8	0,613725	14,314136	0,982724	
66	2	7,00	1,00	0,00	12	0,589800	24,260394	0,982911	
67	2	7,00	1,00	0,00	16	0,577167	35,365745	0,982069	
68	2	8,00	1,00	0,00	4	0,559615	47,187935	0,991678	
69	2	8,00	1,00	0,00	8	0,592292	14,683286	0,974141	
70	2	8,00	1,00	0,00	12	0,590099	23,658778	0,988999	
71	2	8,00	1,00	0,00	16	0,575646	34,368827	0,988384	
72	2	9,00	1,00	0,00	4	0,568738	41,469361	0,991157	
73	2	9,00	1,00	0,00	8	0,551948	15,348454	0,986566	
74	2	9,00	1,00	0,00	12	0,558242	25,302896	0,958804	
75	2	9,00	1,00	0,00	16	0,558366	33,629567	0,984725	
76	2	10,00	1,00	0,00	4	0,564428	43,863028	0,990478	
77	2	10,00	1,00	0,00	8	0,570600	14,346813	0,987703	
78	2	10,00	1,00	0,00	12	0,568702	24,485138	0,986478	
79	2	10,00	1,00	0,00	16	0,556190	33,851793	0,988293	
80	2	1,00	2,00	0,00	4	0,549372	45,105087	0,985496	
81	2	1,00	2,00	0,00	8	0,744526	13,843880	0,984128	
82	2	1,00	2,00	0,00	12	0,721106	24,807068	0,990984	
83	2	1,00	2,00	0,00	16	0,682796	37,448677	0,985123	
84	2	2,00	2,00	0,00	4	0,698876	47,337536	0,993142	
85	2	2,00	2,00	0,00	8	0,674419	14,658111	0,987017	
86	2	2,00	2,00	0,00	12	0,671548	24,457795	0,987161	
87	2	2,00	2,00	0,00	16	0,665939	34,920275	0,990882	
88	2	3,00	2,00	0,00	4	0,666667	44,015500	0,989191	
89	2	3,00	2,00	0,00	8	0,613391	15,425203	0,993150	
90	2	3,00	2,00	0,00	12	0,630303	24,442480	0,992674	
91	2	3,00	2,00	0,00	16	0,597285	34,699079	0,979422	
92	2	4,00	2,00	0,00	4	0,607880	45,589270	0,991781	
93	2	4,00	2,00	0,00	8	0,604839	14,678215	0,990038	
94	2	4,00	2,00	0,00	12	0,601677	23,904305	0,994985	
95	2	4,00	2,00	0,00	16	0,598930	33,532351	0,991090	
96	2	5,00	2,00	0,00	4	0,588542	42,363226	0,993853	
97	2	5,00	2,00	0,00	8	0,600753	13,930431	0,985264	
98	2	5,00	2,00	0,00	12	0,562745	25,821089	0,981417	
99	2	5,00	2,00	0,00	16	0,575816	33,271192	0,988509	
100	2	6,00	2,00	0,00	4	0,571186	41,661511	0,994455	
101	2	6,00	2,00	0,00	8	0,575581	13,995689	0,957809	
102	2	6,00	2,00	0,00	12	0,558226	24,304439	0,968310	
103	2	6,00	2,00	0,00	16	0,532710	33,873268	0,993855	
104	2	7,00	2,00	0,00	4	0,526022	43,257077	0,990518	
105	2	7,00	2,00	0,00	8	0,537255	14,838408	0,993549	
106	2	7,00	2,00	0,00	12	0,539924	23,906985	0,990973	
107	2	7,00	2,00	0,00	16	0,544753	33,106904	0,994010	
108	2	8,00	2,00	0,00	4	0,539655	42,774796	0,990491	
109	2	8,00	2,00	0,00	8	0,528409	14,280987	0,992900	
110	2	8,00	2,00	0,00	12	0,540800	23,843521	0,993106	
111	2	8,00	2,00	0,00	16	0,505747	35,430888	0,993116	
112	2	9,00	2,00	0,00	4	0,511304	42,143271	0,993179	
113	2	9,00	2,00	0,00	8	0,502627	15,239831	0,974891	
